,address,longitude,latitude
333,"601 Eastway Drive, Charlotte, Nc 28205",-80.780739,35.249274
334,"2118 North Aspen Street, Lincolnton, Nc 28092",-81.2416219,35.4991404
335,"818 Spring Lane, Sanford, Nc 27330",-79.1944158,35.4889798
336,"1225 East Andrews Avenue, Henderson, Nc 27536",-78.3853507,36.3205828
337,"607 East Boulevard, Williamston, Nc 27892",-77.0495768,35.8453319
338,"1110 Goldsboro Street Southwest, Wilson, Nc 27893",-77.924508,35.714953
339,"10022 University City Boulevard, Charlotte, Nc 28213",-80.7161573,35.3093824
340,"3948 Caratoke Highway, Barco, Nc 27917",-75.9771814,36.3868178
341,"4920 Reynolda Road, Winston Salem, Nc 27106",-80.3349421,36.1666925
342,"319 Pender Street Southeast, Wilson, Nc 27893",-77.905525,35.7177099
343,"300 North Main Street, Holly Springs, Nc 27540",-78.834003,35.655379
344,"2400 Randleman Road, Greensboro, Nc 27406",-79.8007777,36.0392048
345,"1809 South York Road, Gastonia, Nc 28052",-81.195094,35.238976
346,"23781 Highway 12, Rodanthe, Nc 27968",-75.464899,35.593983
347,"1100 North Raleigh Boulevard, Suite 145, Raleigh, Nc 27610",-78.6113699,35.7939867
348,"806 South Main Street, Louisburg, Nc 27549",-78.3057232,36.0923175
349,"1201 Produce Market Road, Laurinburg, Nc 28352",-79.446413,34.790345
350,"2700 East Lexington Avenue, High Point, Nc 27262",-79.9797937,35.9800072
